,ndate,trk,meet,race,fin,com
3171058,20180301,MG,A,5,2,CLOSED FAST OUTSIDE
3171059,20180301,MG,A,5,3,HARD TRY MDTRACK
3171060,20180301,MG,A,5,4,LOST STRIDE INSIDE
3171061,20180301,MG,A,5,5,HELD EVENLY OUTSIDE
3171062,20180301,MG,A,5,6,JAMMED EARLY MDTRACK
3171063,20180301,MG,A,5,7,STMBLD 1ST TRN INSD
3171064,20180301,MG,A,6,1,BOX TO WIRE OUTSIDE
3171065,20180301,MG,A,6,2,STEADY PURSUIT MDTRK
3171066,20180301,MG,A,6,3,CLOSED WELL INSIDE
3171067,20180301,MG,A,6,4,CONSTANT DRIVE OUTSD
3171068,20180301,MG,A,6,5,BLOCKED EARLY INSIDE
3171069,20180301,MG,A,6,6,BLOCKED EARLY MDTRK
3171070,20180301,MG,A,6,7,JAMMED 1ST TRN INSID
3171071,20180301,MG,A,6,8,DROPPED BK HMSTR MTK
3171072,20180301,MG,A,7,1,DRAWING OUT INSIDE
3171073,20180301,MG,A,7,2,STEADY PURSUIT MDTRK
3171074,20180301,MG,A,7,3,FOLLOWED PACE INSIDE
3171075,20180301,MG,A,7,4,HELD EVEN MDTRACK
3171076,20180301,MG,A,7,5,STEADY PACE MDTRACK
3171077,20180301,MG,A,7,6,HELD EVENLY MDTRACK
3171078,20180301,MG,A,7,7,NEVER PROMINENT OUTS
3171079,20180301,MG,A,7,8,CROWDED EARLY OUTSD
3171080,20180301,MG,A,8,1,ALL THE WAY MDTRACK
3171081,20180301,MG,A,8,2,STEADY CHASE MDTRACK
3171082,20180301,MG,A,8,3,FOLLOWED PACE INSIDE
3171083,20180301,MG,A,8,4,BUMPED WD 1ST MDTK
3171084,20180301,MG,A,8,5,LOSING STRIDE MDTRK
3171085,20180301,MG,A,8,6,BLOCKED 1ST OUTSIDE
3171086,20180301,MG,A,8,7,DROPPED BK MDTRACK
3171087,20180301,MG,A,8,8,NO CONTENDER MDTRACK
3171088,20180301,MG,A,9,1,BOX TO WIRE INSIDE
3171089,20180301,MG,A,9,2,BEST OF THE REST INS
3171090,20180301,MG,A,9,3,STEADY GAIN OUTSIDE
3171091,20180301,MG,A,9,4,SOME EFFORT OUTSIDE
3171092,20180301,MG,A,9,5,BLOCKED 1ST INSIDE
3171093,20180301,MG,A,9,6,GAME EFFORT MDTRACK
3171094,20180301,MG,A,9,7,NEVER PROMINENT MDTK
3171095,20180301,MG,A,9,8,STAYED BK INSIDE
3171096,20180301,MG,E,1,1,UP ON TIME MDTRACK
3171097,20180301,MG,E,1,2,LATE THREAT MDTRACK
3171098,20180301,MG,E,1,3,OUTFINISHED OUTSIDE
3171099,20180301,MG,E,1,4,GOOD EFFORT INSIDE
3171100,20180301,MG,E,1,5,MOVED UP MDTRACK
3171101,20180301,MG,E,1,6,DULL EFFORT MDTRACK
3171102,20180301,MG,E,1,7,LOST GROUND MDTRACK
3171103,20180301,MG,E,2,1,MUCH THE BEST INSIDE
3171104,20180301,MG,E,2,2,CHASED WINNER INSIDE
3171105,20180301,MG,E,2,3,SET PACE EARLY MDTRK
3171106,20180301,MG,E,2,4,EVEN EFFORT OUTSIDE
3171107,20180301,MG,E,2,5,HELD EVENLY MDTRACK
3171108,20180301,MG,E,2,6,NEVER GAINED OUTSIDE
3171109,20180301,MG,E,2,7,NEVER VARIED INSIDE
3171110,20180301,MG,E,2,8,OUTRUN OUTSIDE
3171111,20180301,MG,E,3,1,DREW AWAY MDTRACK
3171112,20180301,MG,E,3,2,STEADY PURSUIT MDTRK
3171113,20180301,MG,E,3,3,GAVEWAY LT MDTRK
3171114,20180301,MG,E,3,4,CLOSED WELL OUTSIDE
3171115,20180301,MG,E,3,5,GOOD EFFORT OUTSIDE
3171116,20180301,MG,E,3,6,FADED BK INSIDE
3171117,20180301,MG,E,3,7,BUMPED 1ST TRN MTK
3171118,20180301,MG,E,3,8,CROWDED 1ST TRN INSD
3171119,20180301,MG,E,4,1,STR RUSH MDTRACK
3171120,20180301,MG,E,4,2,HARD TRY MDTRACK
3171121,20180301,MG,E,4,3,EVEN EFFORT MDTRACK
3171122,20180301,MG,E,4,4,GOOD TRY INSIDE
3171123,20180301,MG,E,4,5,SOME DRIVE MDTRACK
3171124,20180301,MG,E,4,6,LOST PACE LT INSIDE
3171125,20180301,MG,E,4,7,BUMPED 1ST TRN OUTSD
3171126,20180301,MG,E,4,8,NO MISHAPS INSIDE
3171127,20180301,MG,E,5,1,GOING AWAY MDTRACK
3171128,20180301,MG,E,5,2,CHASED WINNER MDTRK
3171129,20180301,MG,E,5,3,CLOSING FAST MDTRACK
3171130,20180301,MG,E,5,4,BMPD 1ST MVD UP OUT
3171131,20180301,MG,E,5,5,LOST STRIDE INSIDE
3171132,20180301,MG,E,5,6,BLOCKED 1ST INSIDE
3171133,20180301,MG,E,5,7,NO FACTOR OUTSIDE
3171134,20180301,MG,E,5,8,DROPPED BK BKSTR MTK
3171135,20180301,MG,E,6,1,EASILY MDTRACK
3171136,20180301,MG,E,6,2,NEXT BEST INSIDE
3171137,20180301,MG,E,6,3,BUMPED WIDE 1ST OUTS
3171138,20180301,MG,E,6,4,LOST GROUND MDTRACK
3171139,20180301,MG,E,6,5,JAMMED 1ST OUTSIDE
3171140,20180301,MG,E,6,6,DULL TRY MDTRACK
3171141,20180301,MG,E,6,7,FADED BK INSIDE
3171142,20180301,MG,E,6,8,NO MISHAPS MDTRACK
3171143,20180301,MG,E,7,1,QUICK COMMAND INSIDE
3171144,20180301,MG,E,7,2,BEST OF THE REST MTK
3171145,20180301,MG,E,7,3,STEADY PURSUIT MDTRK
3171146,20180301,MG,E,7,4,GAME EFFORT INSIDE
3171147,20180301,MG,E,7,5,DULL TRY OUTSIDE
3171148,20180301,MG,E,7,6,LOST DRIVE HMSTR MTK
3171149,20180301,MG,E,7,7,BLOCKED 1ST INSIDE
3171150,20180301,MG,E,8,1,ALL THE WAY OUTSIDE
3171151,20180301,MG,E,8,2,STEADY CHASE OUTSIDE
3171152,20180301,MG,E,8,3,EVEN EFFORT INSIDE
3171153,20180301,MG,E,8,4,SM EFFORT MDTRACK
3171154,20180301,MG,E,8,5,JAMMED 1ST MIDTRACK
3171155,20180301,MG,E,8,6,DULL TRY INSIDE
3171156,20180301,MG,E,8,7,LOST GROUND INSIDE
3171157,20180301,MG,E,8,8,NO FACTOR INSIDE
3171158,20180301,MG,E,9,1,GOING AWAY MDTRACK
3171159,20180301,MG,E,9,2,BEST OF THE REST MTK
3171160,20180301,MG,E,9,3,EVEN PACE INSIDE
3171161,20180301,MG,E,9,4,MOVED UP MDTRACK
3171162,20180301,MG,E,9,5,HELD EVENLY MDTRACK
3171163,20180301,MG,E,9,6,FADED BK MDTRACK
3171164,20180301,MG,E,9,7,HIT 1ST TRN INSIDE
3171165,20180301,MG,E,9,8,PNCHD BK FRNT ST OUT
3171166,20180301,NF,A,1,1,STRONG STRETCH RALLY OUTS
3171167,20180301,NF,A,1,2,JUST MISSED OUTS
3171168,20180301,NF,A,1,3,SPEED TIRED LATE MID
3171169,20180301,NF,A,1,4,GOOD TRIP NO FINISH INS
3171170,20180301,NF,A,1,5,STAYED MIDPACK INS
3171171,20180301,NF,A,1,6,FAILED TO ADVANCE OUTS
3171172,20180301,NF,A,1,7,SHOWED LITTLE OUTS
3171173,20180301,NF,A,1,8,NO FACTOR OUTS
3171174,20180301,NF,A,2,1,LATE SURGE AT WIRE INS
3171175,20180301,NF,A,2,2,SAVED BY WIRE MID
3171176,20180301,NF,A,2,3,NEVER VARIED OUTS
3171177,20180301,NF,A,2,4,EVEN EFFORT PURSE INS
3171178,20180301,NF,A,2,5,WIDE EFFORT MIDPACK OUTS
